input	translation
GSU1285	phosphorelay sensor kinase activity
GSU1287	transmembrane signaling receptor activity
GSU1290	phosphorelay sensor kinase activity
GSU1292	"4 iron, 4 sulfur cluster binding"
GSU1292	phosphorelay sensor kinase activity
GSU1292	protein dimerization activity
GSU1293	DNA binding
GSU1294	transmembrane signaling receptor activity
GSU1296	phosphorelay sensor kinase activity
GSU1297	DNA binding
GSU1297	transposase activity
GSU1298	transmembrane signaling receptor activity
GSU1300	transmembrane signaling receptor activity
GSU1302	histidine phosphotransfer kinase activity
GSU1302	phosphorelay sensor kinase activity
GSU1303	transmembrane signaling receptor activity
GSU1304	transmembrane signaling receptor activity
GSU1305	glutamate dehydrogenase (NADP+) activity
GSU1305	nucleotide binding
GSU1306	5'-3' DNA exonuclease activity
GSU1306	5'-3' RNA exonuclease activity
GSU1307	ferric iron binding
GSU1307	ferrous iron binding
GSU1307	ferroxidase activity
GSU1310	flavin adenine dinucleotide binding
GSU1310	NAD(P)H dehydrogenase (quinone) activity
GSU1311	carbohydrate derivative binding
GSU1311	glucose-6-phosphate isomerase activity
GSU1311	monosaccharide binding
GSU1312	catalytic activity
GSU1312	iron-sulfur cluster binding
GSU1312	metal ion binding
GSU1313	oxidoreductase activity
GSU1313	peroxiredoxin activity
GSU1315	flavin adenine dinucleotide binding
GSU1315	NAD(P)H dehydrogenase (quinone) activity
GSU1315	"oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor"
GSU1316	ATP binding
GSU1316	kinase activity
GSU1317	prenyltransferase activity
GSU1319	phosphorelay sensor kinase activity
GSU1320	ATP binding
GSU1320	ATP hydrolysis activity
GSU1320	sequence-specific DNA binding
GSU1321	antioxidant activity
GSU1321	oxidoreductase activity
GSU1324	mRNA binding
GSU1326	ATP binding
GSU1326	ATP hydrolysis activity
GSU1326	DNA helicase activity
GSU1326	nucleic acid binding
GSU1327	methyltransferase activity
GSU1327	zinc ion binding
GSU1328	guanosine phosphorylase activity
GSU1328	purine-nucleoside phosphorylase activity
GSU1328	pyrimidine-nucleoside phosphorylase activity
GSU1328	thymidine phosphorylase activity
GSU1328	uridine phosphorylase activity
GSU1329	ATP binding
GSU1329	glutamate-tRNA ligase activity
GSU1329	zinc ion binding
GSU1330	efflux transmembrane transporter activity
GSU1330	transmembrane transporter activity
GSU1331	transition metal ion binding
GSU1331	transmembrane transporter activity
GSU1332	monoatomic cation transmembrane transporter activity
GSU1332	xenobiotic transmembrane transporter activity
GSU1338	metal ion binding
GSU1340	transmembrane transporter activity
GSU1341	ATP binding
GSU1341	ATP hydrolysis activity
GSU1341	transmembrane transporter activity
GSU1342	DNA-binding transcription factor activity
GSU1344	"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"
GSU1345	DNA-binding transcription factor activity
GSU1346	sulfur compound binding
GSU1347	ABC-type sulfate transporter activity
GSU1348	ABC-type sulfate transporter activity
GSU1349	ABC-type sulfate transporter activity
GSU1349	ABC-type thiosulfate transporter activity
GSU1349	ATP binding
GSU1349	ATP hydrolysis activity
GSU1350	nucleotidyltransferase activity
GSU1350	sulfotransferase activity
GSU1350	thiosulfate sulfurtransferase activity
GSU1350	ubiquitin-like modifier activating enzyme activity
GSU1351	heme binding
GSU1351	iron-sulfur cluster binding
GSU1351	metal ion binding
GSU1351	sulfite reductase (ferredoxin) activity
GSU1351	sulfite reductase activity
GSU1356	nucleic acid binding
GSU1357	nucleoside triphosphate diphosphatase activity
GSU1359	ATP binding
GSU1359	ATP hydrolysis activity
GSU1359	DNA binding
GSU1359	helicase activity
GSU1361	nucleic acid binding
GSU1363	RNA binding
GSU1363	RNA-directed DNA polymerase activity
GSU1364	endonuclease activity
GSU1365	DNA binding
GSU1365	restriction endodeoxyribonuclease activity
GSU1369	endonuclease activity
GSU1370	iron-sulfur cluster binding
GSU1370	metal ion binding
GSU1370	oxidoreductase activity
GSU1371	FMN binding
GSU1371	NADP binding
GSU1371	NADPH dehydrogenase activity
GSU1372	NAD binding
GSU1372	NADP binding
GSU1372	"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
GSU1374	transmembrane signaling receptor activity
GSU1375	S-adenosylmethionine-dependent methyltransferase activity
GSU1377	catalytic activity
GSU1378	hydrolase activity
GSU1379	DNA-binding transcription factor activity
GSU1379	transcription cis-regulatory region binding
GSU1379	zinc ion binding
GSU1382	DNA-binding transcription factor activity
GSU1382	protein dimerization activity
GSU1382	transition metal ion binding
GSU1383	3'-5' exonuclease activity
GSU1383	DNA binding
GSU1383	DNA-directed DNA polymerase activity
GSU1384	ATP binding
GSU1384	hydrolase activity
GSU1384	metal ion binding
GSU1384	nucleic acid binding
GSU1384	RNA helicase activity
GSU1388	RNA binding
GSU1390	DNA binding
GSU1392	DNA binding
GSU1392	DNA endonuclease activity
GSU1392	metal ion binding
GSU1394	copper ion binding
GSU1394	oxidoreductase activity
GSU1397	electron transfer activity
GSU1397	heme binding
GSU1397	metal ion binding
GSU1398	metal ion binding
GSU1399	cobalt ion binding
GSU1399	cobalt ion transmembrane transporter activity
GSU1399	magnesium ion binding
GSU1399	magnesium ion transmembrane transporter activity
GSU1401	3'-5' exonuclease activity
GSU1401	DNA-directed DNA polymerase activity
GSU1401	nucleic acid binding
GSU1402	acetyl-CoA carboxylase activity
GSU1402	ATP binding
GSU1402	carboxyl- or carbamoyltransferase activity
GSU1403	RNA binding
GSU1403	rRNA pseudouridine synthase activity
GSU1404	"4 iron, 4 sulfur cluster binding"
GSU1404	catalytic activity
GSU1404	metal ion binding
GSU1408	ATP binding
GSU1408	ATP hydrolysis activity
GSU1408	ATP-dependent FeS chaperone activity
GSU1408	iron-sulfur cluster binding
GSU1408	metal ion binding
GSU1409	"2 iron, 2 sulfur cluster binding"
GSU1409	ferrous iron binding
GSU1411	antimonite transmembrane transporter activity
GSU1411	antiporter activity
GSU1411	arsenite transmembrane transporter activity
GSU1414	phosphorelay sensor kinase activity
GSU1416	iron-sulfur cluster binding
GSU1416	metal ion binding
GSU1419	DNA binding
GSU1419	DNA-binding transcription factor activity
GSU1420	RNA binding
GSU1420	S-adenosylmethionine-dependent methyltransferase activity
GSU1421	DNA binding
GSU1421	DNA exonuclease activity
GSU1422	ATP hydrolysis activity
GSU1422	exonuclease activity
GSU1423	adenosine 5'-monophosphoramidase activity
GSU1425	phosphatidylglycerol-prolipoprotein diacylglyceryl transferase activity
GSU1426	kinase activity
GSU1427	anti-sigma factor antagonist activity
GSU1429	phosphatase activity
GSU1429	transmembrane transporter activity
GSU1431	kinase activity
GSU1433	peptide transmembrane transporter activity
GSU1437	metal ion binding
GSU1437	metalloendopeptidase activity
GSU1441	iron-sulfur cluster binding
GSU1441	metal ion binding
GSU1442	carbonate dehydratase activity
GSU1442	zinc ion binding
GSU1443	phosphorelay sensor kinase activity
GSU1445	siderophore uptake transmembrane transporter activity
GSU1448	5'-3' DNA exonuclease activity
GSU1448	5'-3' RNA exonuclease activity
GSU1450	"4 iron, 4 sulfur cluster binding"
GSU1450	class I DNA-(apurinic or apyrimidinic site) endonuclease activity
GSU1450	DNA binding
GSU1450	DNA-(apurinic or apyrimidinic site) endonuclease activity
GSU1450	endonuclease activity
GSU1450	metal ion binding
GSU1450	oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity
GSU1451	NAD binding
GSU1451	NADP binding
GSU1451	"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
GSU1457	"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"
GSU1459	"4 iron, 4 sulfur cluster binding"
GSU1459	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity
GSU1459	iron ion binding
GSU1460	aminoacyl-tRNA editing activity
GSU1460	ATP binding
GSU1460	proline-tRNA ligase activity
GSU1461	orotidine-5'-phosphate decarboxylase activity
GSU1462	RNA binding
GSU1462	RNA methyltransferase activity
GSU1463	aspartate-tRNA ligase activity
GSU1463	aspartate-tRNA(Asn) ligase activity
GSU1463	ATP binding
GSU1463	nucleic acid binding
GSU1464	potassium ion binding
GSU1465	isocitrate dehydrogenase (NADP+) activity
GSU1465	metal ion binding
GSU1466	L-malate dehydrogenase activity
GSU1467	iron-sulfur cluster binding
GSU1467	metal ion binding
GSU1468	oxidoreductase activity
GSU1469	catalytic activity
GSU1469	thiamine pyrophosphate binding
GSU1470	"oxidoreductase activity, acting on the aldehyde or oxo group of donors"
GSU1475	RNA binding
GSU1475	tRNA (uracil-2'-O-)-methyltransferase activity
GSU1476	sugar transmembrane transporter activity
GSU1480	transmembrane transporter activity
GSU1482	efflux transmembrane transporter activity
GSU1482	porin activity
GSU1483	DNA-binding transcription factor activity
GSU1484	"hydrolase activity, hydrolyzing O-glycosyl compounds"
GSU1484	lytic transglycosylase activity
GSU1485	exoribonuclease II activity
GSU1485	RNA binding
GSU1486	proton motive force dependent protein transmembrane transporter activity
GSU1487	ATP binding
GSU1487	FMN adenylyltransferase activity
GSU1487	riboflavin kinase activity
GSU1490	NADP binding
GSU1490	shikimate 3-dehydrogenase (NADP+) activity
GSU1491	ATP binding
GSU1491	ATP hydrolysis activity
GSU1492	ATP binding
GSU1492	ATP hydrolysis activity
GSU1494	phosphorelay response regulator activity
GSU1494	phosphorelay sensor kinase activity
GSU1494	protein kinase activator activity
GSU1495	ATP binding
GSU1495	ATP hydrolysis activity
GSU1495	sequence-specific DNA binding
GSU1501	ATP binding
GSU1501	ATP hydrolysis activity
GSU1502	"transferase activity, transferring alkyl or aryl (other than methyl) groups"
GSU1504	ABC-type transporter activity
GSU1505	ABC-type transporter activity
GSU1505	ATP binding
GSU1505	ATP hydrolysis activity
GSU1506	S-adenosylmethionine-dependent methyltransferase activity
GSU1507	ADP-heptose-lipopolysaccharide heptosyltransferase activity
GSU1509	glycosyltransferase activity
GSU1510	glycosyltransferase activity
GSU1511	glycosyltransferase activity
GSU1512	oxidoreductase activity
GSU1513	methyltransferase activity
GSU1513	S-adenosylmethionine-dependent methyltransferase activity
GSU1514	ADP-heptose-lipopolysaccharide heptosyltransferase activity
GSU1515	ATP binding
GSU1515	metal ion binding
GSU1515	threonine-tRNA ligase activity
GSU1515	tRNA binding
GSU1516	ribosome binding
GSU1516	translation initiation factor activity
GSU1517	structural constituent of ribosome
GSU1518	rRNA binding
GSU1518	structural constituent of ribosome
GSU1519	ATP binding
GSU1519	magnesium ion binding
GSU1519	phenylalanine-tRNA ligase activity
GSU1519	tRNA binding
GSU1520	ATP binding
GSU1520	magnesium ion binding
GSU1520	phenylalanine-tRNA ligase activity
GSU1520	tRNA binding
GSU1521	DNA binding
GSU1521	structural constituent of chromatin
GSU1522	DNA binding
GSU1522	DNA-binding transcription factor activity
GSU1523	3'-nucleotidase activity
GSU1523	5'-nucleotidase activity
GSU1523	exopolyphosphatase activity
GSU1523	metal ion binding
GSU1523	nucleotide binding
GSU1523	XMP 5'-nucleosidase activity
GSU1524	protein-L-isoaspartate (D-aspartate) O-methyltransferase activity
GSU1525	DNA binding
GSU1525	sigma factor activity
GSU1526	adenine binding
GSU1526	adenine phosphoribosyltransferase activity
GSU1526	AMP binding
GSU1527	L-cysteine desulfhydrase activity
GSU1529	phosphorelay sensor kinase activity
GSU1530	ATP binding
GSU1530	ATP phosphoribosyltransferase activity
GSU1530	magnesium ion binding
GSU1531	magnesium ion binding
GSU1531	phosphoribosyl-AMP cyclohydrolase activity
GSU1531	zinc ion binding
GSU1533	ATP binding
GSU1533	DNA binding
GSU1533	exodeoxyribonuclease V activity
GSU1534	3'-5' DNA helicase activity
GSU1534	ATP binding
GSU1534	ATP hydrolysis activity
GSU1534	DNA binding
GSU1534	exodeoxyribonuclease V activity
GSU1535	ATP binding
GSU1535	DNA binding
GSU1535	exodeoxyribonuclease V activity
GSU1535	single-stranded DNA helicase activity
GSU1537	ATP binding
GSU1537	ATP hydrolysis activity
GSU1537	peptidase activity
GSU1538	cytochrome-c peroxidase activity
GSU1538	electron transfer activity
GSU1538	heme binding
GSU1538	metal ion binding
GSU1539	DNA binding
GSU1539	double-stranded DNA 3'-5' DNA exonuclease activity
GSU1539	endonuclease activity
GSU1539	metal ion binding
GSU1541	DNA binding
GSU1541	transposase activity
GSU1542	DNA binding
GSU1545	homoserine transmembrane transporter activity
GSU1547	glycosyltransferase activity
GSU1548	metal ion binding
GSU1548	oxidoreductase activity
GSU1550	isomerase activity
GSU1551	phosphatase activity
GSU1554	diguanylate cyclase activity
GSU1555	ATP binding
GSU1555	phosphorelay sensor kinase activity
GSU1557	mechanosensitive monoatomic ion channel activity
GSU1560	catalytic activity
GSU1560	iron-sulfur cluster binding
GSU1560	metal ion binding
GSU1561	carboxypeptidase activity
GSU1561	penicillin binding
GSU1561	peptidoglycan glycosyltransferase activity
GSU1564	glutamate dehydrogenase (NAD+) activity
GSU1566	deoxyribonucleoside 5'-monophosphate N-glycosidase activity
GSU1567	metalloendopeptidase activity
GSU1567	zinc ion binding
GSU1572	5-amino-6-(5-phosphoribosylamino)uracil reductase activity
GSU1573	metalloendopeptidase activity
GSU1575	S-adenosylmethionine-dependent methyltransferase activity
GSU1577	ATP binding
GSU1577	corrinoid adenosyltransferase activity
GSU1578	cobalamin binding
GSU1578	isomerase activity
GSU1578	metal ion binding
GSU1579	ATP hydrolysis activity
GSU1579	GTP binding
GSU1579	GTPase activity
GSU1579	kinase activity
GSU1580	"peptidoglycan L,D-transpeptidase activity"
GSU1580	transferase activity
GSU1581	ATP binding
GSU1581	ATP:3'-cytidine-cytidine-tRNA adenylyltransferase activity
GSU1581	metal ion binding
GSU1581	tRNA binding
GSU1582	adenosylmethionine-8-amino-7-oxononanoate transaminase activity
GSU1582	pyridoxal phosphate binding
GSU1583	ATP binding
GSU1583	dethiobiotin synthase activity
GSU1583	magnesium ion binding
GSU1584	"2 iron, 2 sulfur cluster binding"
GSU1584	"4 iron, 4 sulfur cluster binding"
GSU1584	biotin synthase activity
GSU1584	iron ion binding
GSU1586	DNA-binding transcription factor activity
GSU1586	RNA binding
GSU1586	translation elongation factor activity
GSU1588	GTP binding
GSU1588	GTPase activity
GSU1588	translation initiation factor activity
GSU1589	ribosomal small subunit binding
GSU1590	nucleic acid binding
GSU1591	pseudouridine synthase activity
GSU1591	RNA binding
GSU1591	tRNA pseudouridine synthase activity
GSU1592	rRNA binding
GSU1592	structural constituent of ribosome
GSU1593	3'-5'-RNA exonuclease activity
GSU1593	magnesium ion binding
GSU1593	polyribonucleotide nucleotidyltransferase activity
GSU1593	RNA binding
GSU1594	metal ion binding
GSU1594	metalloendopeptidase activity
GSU1595	dUTP diphosphatase activity
GSU1595	magnesium ion binding
GSU1596	double-stranded RNA binding
GSU1599	structural constituent of ribosome
GSU1600	phosphate:acyl-[acyl carrier protein] acyltransferase activity
GSU1601	3-oxoacyl-[acyl-carrier-protein] synthase activity
GSU1601	beta-ketoacyl-acyl-carrier-protein synthase III activity
GSU1602	[acyl-carrier-protein] S-malonyltransferase activity
GSU1603	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity
GSU1603	NAD binding
GSU1603	"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
GSU1604	acyl binding
GSU1604	acyl carrier activity
GSU1605	3-oxoacyl-[acyl-carrier-protein] synthase activity
GSU1606	ribose-5-phosphate isomerase activity
GSU1607	glycine hydroxymethyltransferase activity
GSU1607	pyridoxal phosphate binding
GSU1607	serine binding
GSU1607	zinc ion binding
GSU1609	efflux transmembrane transporter activity
GSU1609	porin activity
GSU1610	efflux transmembrane transporter activity
GSU1611	xenobiotic transmembrane transporter activity
GSU1612	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity"
GSU1613	"8-oxo-7,8-dihydroguanine DNA N-glycosylase activity"
GSU1613	adenine/guanine mispair binding
GSU1613	endonuclease activity
GSU1613	oxidized purine DNA binding
GSU1613	purine-specific mismatch base pair DNA N-glycosylase activity
GSU1616	damaged DNA binding
GSU1616	DNA-directed DNA polymerase activity
GSU1616	magnesium ion binding
GSU1617	DNA binding
GSU1617	serine-type endopeptidase activity
GSU1620	iron-sulfur cluster binding
GSU1620	metal ion binding
GSU1622	lactate transmembrane transporter activity
GSU1622	solute:proton symporter activity
GSU1623	catalytic activity
GSU1623	FAD binding
GSU1624	"4 iron, 4 sulfur cluster binding"
GSU1624	metal ion binding
GSU1626	DNA binding
GSU1626	DNA-binding transcription factor activity
GSU1627	protein-transporting ATPase activity
GSU1629	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity
GSU1629	NAD binding
GSU1629	NADP binding
GSU1630	histidine phosphotransfer kinase activity
GSU1630	phosphorelay sensor kinase activity
GSU1631	hydrolase activity
GSU1632	(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido) succinate lyase (fumarate-forming) activity
GSU1632	"N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity"
GSU1634	ATP binding
GSU1634	magnesium ion binding
GSU1634	phosphoribosylformylglycinamidine synthase activity
GSU1635	phosphoribosylformylglycinamidine synthase activity
GSU1636	"4 iron, 4 sulfur cluster binding"
GSU1636	amidophosphoribosyltransferase activity
GSU1636	magnesium ion binding
GSU1637	magnesium ion binding
GSU1637	orotate phosphoribosyltransferase activity
GSU1639	DNA-binding transcription factor activity
GSU1640	electron transfer activity
GSU1640	heme binding
GSU1640	metal ion binding
GSU1640	"oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor"
GSU1641	electron transfer activity
GSU1641	"oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor"
GSU1642	metal ion binding
GSU1642	oxidoreductase activity
GSU1643	diguanylate cyclase activity
GSU1644	ATP binding
GSU1644	ATP hydrolysis activity
GSU1644	ribosome binding
GSU1644	rRNA binding
GSU1644	tRNA binding
GSU1648	metal ion binding
GSU1649	electron transfer activity
GSU1649	metal ion binding
GSU1650	"2 iron, 2 sulfur cluster binding"
GSU1650	metal ion binding
GSU1650	oxidoreductase activity
GSU1651	"fructose 1,6-bisphosphate 1-phosphatase activity"
GSU1651	magnesium ion binding
GSU1653	ATP binding
GSU1653	ATP hydrolysis activity
GSU1653	sequence-specific DNA binding
GSU1655	ATP binding
GSU1655	phosphorelay sensor kinase activity
GSU1658	diguanylate cyclase activity
GSU1659	ATP binding
GSU1659	histidine-tRNA ligase activity
GSU1660	2-methylisocitrate dehydratase activity
GSU1660	"4 iron, 4 sulfur cluster binding"
GSU1660	aconitate hydratase activity
GSU1660	metal ion binding
GSU1660	RNA binding
GSU1663	purine-nucleoside phosphorylase activity
GSU1665	serine-type endopeptidase activity
GSU1666	iron-sulfur cluster binding
GSU1666	metal ion binding
GSU1671	phosphorelay response regulator activity
GSU1671	transcription cis-regulatory region binding
GSU1672	NAD binding
GSU1672	"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
GSU1677	acyltransferase activity
GSU1677	long-chain fatty acid-CoA ligase activity
GSU1678	ATP binding
GSU1678	ATP hydrolysis activity
GSU1678	P-type ion transporter activity
GSU1680	metal ion binding
GSU1684	GTP binding
GSU1684	metal ion binding
GSU1684	RNA ligase (ATP) activity
GSU1686	dCMP deaminase activity
GSU1686	zinc ion binding
GSU1687	ATP binding
GSU1687	DNA binding
GSU1687	zinc ion binding
GSU1688	5-amino-6-(5-phosphoribosylamino)uracil reductase activity
GSU1688	diaminohydroxyphosphoribosylaminopyrimidine deaminase activity
GSU1688	NADP binding
GSU1688	tRNA-specific adenosine-34 deaminase activity
GSU1688	zinc ion binding
GSU1689	riboflavin synthase activity
GSU1690	"3,4-dihydroxy-2-butanone-4-phosphate synthase activity"
GSU1690	GTP binding
GSU1690	GTP cyclohydrolase II activity
GSU1690	magnesium ion binding
GSU1690	manganese ion binding
GSU1690	zinc ion binding
GSU1691	"6,7-dimethyl-8-ribityllumazine synthase activity"
GSU1692	RNA binding
GSU1693	homoserine dehydrogenase activity
GSU1693	NADP binding
GSU1694	phosphoglycolate phosphatase activity
GSU1695	pyridoxal phosphate binding
GSU1695	threonine synthase activity
GSU1696	ATP binding
GSU1696	ATP hydrolysis activity
GSU1700	acyltransferase activity
GSU1700	malate dehydrogenase (decarboxylating) (NAD+) activity
GSU1700	metal ion binding
GSU1700	NAD binding
GSU1701	hydrolase activity
GSU1701	nucleotide binding
GSU1702	kinase activity
GSU1703	6-phosphofructokinase activity
GSU1703	AMP binding
GSU1703	ATP binding
GSU1703	diphosphate-fructose-6-phosphate 1-phosphotransferase activity
GSU1703	fructose-6-phosphate binding
GSU1703	identical protein binding
GSU1703	metal ion binding
GSU1703	monosaccharide binding
GSU1704	transmembrane signaling receptor activity
GSU1705	3-methyl-2-oxobutanoate hydroxymethyltransferase activity
GSU1705	magnesium ion binding
GSU1706	ATP binding
GSU1706	pantoate-beta-alanine ligase activity
GSU1707	carboxy-lyase activity
GSU1707	pyridoxal phosphate binding
GSU1707	sphinganine-1-phosphate aldolase activity
GSU1708	"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"
GSU1709	RNA binding
GSU1710	DNA binding
GSU1711	DNA binding
GSU1711	DNA strand exchange activity
GSU1716	"4 iron, 4 sulfur cluster binding"
GSU1716	metal ion binding
GSU1716	phosphoadenylyl-sulfate reductase (thioredoxin) activity
GSU1717	sulfate adenylyltransferase (ATP) activity
GSU1718	ATP binding
GSU1718	GTP binding
GSU1718	GTPase activity
GSU1718	sulfate adenylyltransferase (ATP) activity
GSU1720	"6-carboxy-5,6,7,8-tetrahydropterin synthase activity"
GSU1720	metal ion binding
GSU1721	"4 iron, 4 sulfur cluster binding"
GSU1721	carbon-nitrogen lyase activity
GSU1721	magnesium ion binding
GSU1721	S-adenosyl-L-methionine binding
GSU1722	"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides"
GSU1722	metal ion binding
GSU1723	mechanosensitive monoatomic ion channel activity
GSU1724	DNA binding
GSU1724	DNA exonuclease activity
GSU1725	ATP hydrolysis activity
GSU1725	exonuclease activity
GSU1727	zinc ion binding
GSU1728	"4 iron, 4 sulfur cluster binding"
GSU1728	catalytic activity
GSU1728	metal ion binding
GSU1729	nucleotide binding
GSU1729	phenylacetate-CoA ligase activity
GSU1730	ATP binding
GSU1730	ATP hydrolysis activity
GSU1730	branched-chain amino acid transmembrane transporter activity
GSU1731	ATP binding
GSU1731	ATP hydrolysis activity
GSU1731	L-isoleucine transmembrane transporter activity
GSU1731	L-phenylalanine transmembrane transporter activity
GSU1731	L-valine transmembrane transporter activity
GSU1732	branched-chain amino acid transmembrane transporter activity
GSU1733	transmembrane transporter activity
GSU1737	nucleotide binding
GSU1737	phenylacetate-CoA ligase activity
GSU1738	"oxidoreductase activity, acting on the aldehyde or oxo group of donors"
GSU1739	"4 iron, 4 sulfur cluster binding"
GSU1739	indolepyruvate ferredoxin oxidoreductase activity
GSU1739	metal ion binding
GSU1739	thiamine pyrophosphate binding
GSU1740	electron transfer activity
GSU1740	heme binding
GSU1741	pyrophosphatase activity
GSU1742	sodium:phosphate symporter activity
GSU1746	DNA binding
GSU1746	structural constituent of chromatin
GSU1748	"4 iron, 4 sulfur cluster binding"
GSU1748	metal ion binding
GSU1748	RNA methyltransferase activity
GSU1748	S-adenosylmethionine-dependent methyltransferase activity
GSU1750	ribosome binding
GSU1750	rRNA binding
GSU1750	translation initiation factor activity
GSU1752	translation elongation factor activity
GSU1753	ATP binding
GSU1753	lysine-tRNA ligase activity
GSU1753	translation elongation factor activity
GSU1753	tRNA binding
GSU1754	"4 iron, 4 sulfur cluster binding"
GSU1754	isomerase activity
GSU1754	metal ion binding
GSU1754	translation elongation factor activity
GSU1755	dihydroorotate dehydrogenase (NADH) activity
GSU1755	dihydroorotate dehydrogenase activity
GSU1756	"2 iron, 2 sulfur cluster binding"
GSU1756	electron transfer activity
GSU1756	flavin adenine dinucleotide binding
GSU1756	metal ion binding
GSU1757	peptide-alanine-alpha-N-acetyltransferase activity
GSU1758	ATP binding
GSU1758	phosphoribosylamine-glycine ligase activity
GSU1758	phosphoribosylformylglycinamidine cyclo-ligase activity
GSU1759	phosphoribosylglycinamide formyltransferase activity
GSU1760	electron transfer activity
GSU1760	heme binding
GSU1760	metal ion binding
GSU1761	electron transfer activity
GSU1761	heme binding
GSU1761	metal ion binding
GSU1764	1-deoxy-D-xylulose-5-phosphate synthase activity
GSU1764	magnesium ion binding
GSU1764	thiamine pyrophosphate binding
GSU1765	prenyltransferase activity
GSU1766	exodeoxyribonuclease VII activity
GSU1767	exodeoxyribonuclease VII activity
GSU1767	nucleic acid binding
GSU1770	carbohydrate binding
GSU1771	DNA binding
GSU1772	endopeptidase activity
GSU1772	serine-type peptidase activity
GSU1773	metalloendopeptidase activity
GSU1775	ATP binding
GSU1775	ATP hydrolysis activity
GSU1775	transmembrane transporter activity
GSU1778	carbohydrate binding
GSU1786	heme binding
GSU1786	metal ion binding
GSU1786	"nitrite reductase (cytochrome, ammonia-forming) activity"
GSU1789	dolichyl-phosphate beta-D-mannosyltransferase activity
GSU1790	ATP binding
GSU1790	ATP hydrolysis activity
GSU1790	ATP-dependent peptidase activity
GSU1790	sequence-specific DNA binding
GSU1790	serine-type endopeptidase activity
GSU1791	ATP binding
GSU1791	ATP hydrolysis activity
GSU1791	ATP-dependent protein folding chaperone
GSU1791	protein dimerization activity
GSU1791	unfolded protein binding
GSU1791	zinc ion binding
GSU1792	ATP-dependent peptidase activity
GSU1792	ATPase binding
GSU1792	serine-type endopeptidase activity
GSU1793	peptidyl-prolyl cis-trans isomerase activity
GSU1793	protein folding chaperone
GSU1793	ribosome binding
GSU1794	dITP diphosphatase activity
GSU1794	ITP diphosphatase activity
GSU1794	metal ion binding
GSU1794	nucleoside triphosphate diphosphatase activity
GSU1794	nucleotide binding
GSU1794	ribonucleoside triphosphate phosphatase activity
GSU1794	XTP diphosphatase activity
GSU1795	3'-5'-RNA exonuclease activity
GSU1795	tRNA binding
GSU1795	tRNA nucleotidyltransferase activity
GSU1796	nucleic acid binding
GSU1797	DNA binding
GSU1798	(R)-citramalate synthase activity
GSU1798	2-isopropylmalate synthase activity
GSU1799	aspartate kinase activity
GSU1799	ATP binding
GSU1802	ADP-dependent NAD(P)H-hydrate dehydratase activity
GSU1802	ATP binding
GSU1802	metal ion binding
GSU1802	NADHX epimerase activity
GSU1802	NADPHX epimerase activity
GSU1803	holo-[acyl-carrier-protein] synthase activity
GSU1803	magnesium ion binding
GSU1804	pyridoxine 5'-phosphate synthase activity
GSU1805	magnesium ion binding
GSU1805	phosphoglucosamine mutase activity
GSU1805	phosphomannomutase activity
GSU1807	adenylate cyclase activity
GSU1807	ATP binding
GSU1807	diadenylate cyclase activity
GSU1808	dihydropteroate synthase activity
GSU1809	ATP binding
GSU1809	ATP hydrolysis activity
GSU1809	ATP-dependent peptidase activity
GSU1809	metalloendopeptidase activity
GSU1809	zinc ion binding
GSU1810	ATP binding
GSU1810	"ligase activity, forming carbon-nitrogen bonds"
GSU1811	peptidoglycan binding
GSU1812	arginine-tRNA ligase activity
GSU1812	ATP binding
GSU1815	NAD+ binding
GSU1815	UDP-glucuronate decarboxylase activity
GSU1816	NAD binding
GSU1816	UDP-glucose 6-dehydrogenase activity
GSU1818	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity"
GSU1818	metal ion binding
GSU1819	DNA binding
GSU1819	tyrosine-based site-specific recombinase activity
GSU1820	Not Found
GSU1820	phosphoric diester hydrolase activity
GSU1821	N-acetylmuramoyl-L-alanine amidase activity
GSU1822	ATP binding
GSU1822	ATP-dependent DNA damage sensor activity
GSU1822	damaged DNA binding
GSU1822	mismatched DNA binding
GSU1825	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity
GSU1826	lytic transglycosylase activity
